categorie,details,adresse,chambres,superficie,prix,image_lien
Appartements meublés,Appartement meublé,"Hann maristes, Dakar",2 chambre,150 m²,25 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2a1ea6944e9685837783d3a9dd225cda/-/horizon-files-prod/ed/picture/migrated/qx8kq0v/8bb47437d07291e781600cc41c9d3c77520b1e97.jpg
Appartements meublés,Appartements meublés à louer yoff virage,"Virage, Dakar",,,30 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ad79aef92f9a084ce3051e9ebd0b3b10/-/horizon-files-prod/ed/picture/q8vv7kwx/9a12c3dda7f0d07f48764f6226e45b50287f1008.jpg
Appartements meublés,Studio meublé,"Golf, Dakar",1 chambre,,30 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/18a24ee3fd2a4ae7284bb8820ea320e5/-/horizon-files-prod/ed/picture/qv4d9q25/07f04ac0c3bd675e67e2ece8d7fba6ba5dd67fea.jpg
Appartements meublés,Appartement meublé à louer,"Almadies, Dakar",3 chambre,,1 600 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e4f7423ca343fcf8177752d75a26702c/-/horizon-files-prod/ed/picture/qv4d909k/016ca26b1f3bc99ffa7a1efb69b150795bce625a.jpg
Appartements meublés,Appartement meublé type F4 Sicap Foire,"Sicap foire, Dakar",3 chambre,220 m²,90 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9c6a66a8f6e9486983c0963a8b20d9c8/-/horizon-files-prod/ed/picture/qwdz8v0/a02df722d1bf629e20e9761f215db3b7b1d90481.jpg
Appartements meublés,Appartements meublés haut standing,"Sicap foire, Dakar",2 chambre,110 m²,55 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f4ba4205f02edb27a9c04a90aa59b21c/-/horizon-files-prod/ed/picture/qznk0qr/b3817257ea17ec656bfb327c6328ba7ce1431b5c.jpg
Appartements meublés,Joli studio meublé,"VDN, Dakar",1 chambre,30 m²,25 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3de842e6a8b779b6223aa7ee66fdfe95/-/horizon-files-prod/ed/picture/q0gwkqve/2b9d943b801389e8615570d5775c4f07d0f63438.jpg
Appartements meublés,Ref_33844_PL Bel Appartement très cosy meublé à Ngor,"Ngor, Dakar",3 chambre,,1 200 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4d662100b98ba35682b2368e32c8c990/-/horizon-files-prod/ed/picture/qrzr6kjx/d5b6f6a66738b75bc6e3d0539b431900a3bd9c32.jpg
Appartements meublés,"Appartement meublé à Ngor, Almadies","Ngor, Dakar",,,45 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b4b7a55dcb97b3a45e65771d6a76dab2/-/horizon-files-prod/ed/picture/q6xqr7p7/d7d15c7474b0cb414d23e70b1e2d1d7ee9d39275.jpg
Appartements meublés,Appartement Meublé vue sur mer - Mermoz,"Mermoz, Dakar",3 chambre,,1 800 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3d4a7a2928bb2a8187382e7f9ef08893/-/horizon-files-prod/ed/picture/qkr775rz/5245fcc1ebc7930455db3a7fbd717cf32f78def3.jpg
Appartements meublés,Fabuleux 2 ch+salon aux almadies route du King fahd,"Almadies, Dakar",2 chambre,100 m²,60 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e9a227ce542cb2a7d963990a75bf1d53/-/horizon-files-prod/ed/picture/q0gkw57e/543319c76b135726a33183f3a7e607a373145912.jpg
Appartements meublés,Bel appartement meublé à louer,"Virage, Dakar",1 chambre,,45 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4060e0bc60404c1b4011505e898964de/-/horizon-files-prod/ed/picture/q9mkrdpx/e2e9ba9ddb6c111c4811bfef450ba2d92ab7bf26.jpg
Appartements meublés,Studio meublé à louer aux Almadies 2,"Almadies 2, Dakar",,,22 500 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c0c476ce4bdbbfa30108ca58fc9a353b/-/horizon-files-prod/ed/picture/qpdm8m40/bcd1df5f0576c9b49eaf93a21c3ccf2ab2b30bae.jpg
Appartements meublés,Studio meublé à louer par jour,"Sud foire, Dakar",2 chambre,,20 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ce51670f57780fe54127947a7739ffa5/-/horizon-files-prod/ed/picture/q785rwj8/13b71bd1fb3075168d3922f3974be2c8ada90aec.jpg
Appartements meublés,Studio à louer à liberté 6,"Sud foire, Dakar",1 chambre,100 m²,20 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8c82e53b2090b3bd171f17d0ade3203e/-/horizon-files-prod/ed/picture/q9644z7/c48f1e7142af0a92a31474661668f80adac21346.jpg
Appartements meublés,Beautiful Furnished 2 bedrooms/2 Bathrooms for rent,"Liberte 6 extension, Dakar",2 chambre,120 m²,750 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d9db6803181bc83317b80115a9e37273/-/horizon-files-prod/ed/picture/q56pr57r/dae82797794d90658a41045f9ba4aa0178e0e394.jpg
Appartements meublés,Appartements F3 et F4 à la Cité Isra de Hann marinas,"Hann marinas, Dakar",,,900 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/58f85011c18b6b4b4e055831cfdfb3cc/-/horizon-files-prod/ed/picture/qxjprwj2/36679c3b3adfc86011fbe6bfc6f845f6816d6bf9.jpg
Appartements meublés,Appartement meublé F3 à Yoff Almadies,"Ngor, Dakar",2 chambre,,40 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0a3107750b91e0737f142b04083a1980/-/horizon-files-prod/ed/picture/migrated/q2k2m4k/bfcb5e53c1a25a616267735b22bdb25922bd8506.jpg
